queue_size,lambda_percentage,avg_customers_system,avg_customers_queue,avg_time_system,avg_time_queue,server_utilization,denied_service_prob
inf,0.25,0.8343864824846507,0.2094145513196793,0.33598497605396005,0.33598497605396005,-0.9968659971216342,0.0
inf,0.5,1.504536284916602,0.7554863945274786,1.002911865635373,1.002911865635373,-0.9947383122538117,0.0
inf,0.75,3.6201977189558754,2.7456283177298992,3.1422856858833015,3.1422856858833015,-1.0054952859617945,0.0
inf,1.0,97.29170846942918,96.29675988983455,96.14517678845068,96.14517678845068,-0.9864372863170592,0.0
inf,1.25,1223.428712643575,1222.4289129751778,979.4489567714681,979.4489567714681,-0.8015086949985308,0.0
0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.0
2.0,0.25,0.794598005636585,0.17487113670444906,0.28006219701913176,0.28006219701913176,-0.9854467019860872,0.011231527658519393
2.0,0.5,1.1381339270650812,0.41454595342598505,0.5311031881667179,0.5311031881667179,-0.9329684649522665,0.06756142176138932
2.0,0.75,1.4478650274313272,0.6473483987989063,0.6813242422289238,0.6813242422289238,-0.8436567545676731,0.15374341099911787
2.0,1.0,1.7173248027890309,0.8598467752135843,0.7523768910516779,0.7523768910516779,-0.7495468437923357,0.2514076080199266
2.0,1.25,1.9259720921845815,1.0296276791872558,0.7599124194990969,0.7599124194990969,-0.6613504439713441,0.3395796929562581
5.0,0.25,0.8239057128709785,0.2009862727751565,0.3245649825574788,0.3245649825574788,-1.0005894991659572,7.974481658692185e-05
5.0,0.5,1.4264393762426133,0.6781463566867493,0.9013892808521995,0.9013892808521995,-0.9924814376226649,0.007576307808878091
5.0,0.75,2.283452354146283,1.4337058851697342,1.5988167002120601,1.5988167002120601,-0.9500546641005709,0.048209213311834545
5.0,1.0,3.251965571769353,2.3282639347138896,2.160798761232278,2.160798761232278,-0.8585318568689162,0.14537673701388357
5.0,1.25,3.9661839928702953,3.0046233286170088,2.337671299947515,2.337671299947515,-0.7460270430653102,0.2503504685098223
10.0,0.25,0.8427037641175465,0.21536236622784682,0.3421423323934873,0.3421423323934873,-1.0046404258223176,0.0
10.0,0.5,1.519213608138795,0.7683673175770824,1.032816698980292,1.032816698980292,-0.9957582307481081,0.00042262732126965993
10.0,0.75,3.0448016505067828,2.1746203361257472,2.478041691312228,2.478041691312228,-0.9855666279520635,0.01045408175406408
10.0,1.0,5.700883537111141,4.7445381945403415,4.538246508427028,4.538246508427028,-0.9162338423885679,0.08278688135900233
10.0,1.25,7.925127068864508,6.935473082979608,5.510111315114121,5.510111315114121,-0.7879321528224634,0.2137361549252855
50.0,0.25,0.8331374675410632,0.20833153011829175,0.3369205562814326,0.3369205562814326,-1.0038130732343489,0.0
50.0,0.5,1.5489180618712124,0.7950554369064047,1.0531645814352701,1.0531645814352701,-1.002978821583956,0.0
50.0,0.75,3.6039169442593275,2.726632170511261,3.1164354607072,3.1164354607072,-0.9996382214722133,0.0
50.0,1.0,23.094049134723413,22.10558630744908,21.979150417139447,21.979150417139447,-0.9807461589683912,0.012841944202714214
50.0,1.25,46.55438619482889,45.55465245263468,36.37283310210896,36.37283310210896,-0.8034881434482983,0.19703587878356316
